OBJECTID,GIS_ID,FEATURECODE,DESCRIPTION,CAPTUREYEAR,SHAPEAREA,SHAPELEN
22257,430902,1480,Sidewalk,1999-03-31T00:00:00.000Z,167.964363,306.858381783274
22258,417338,1480,Sidewalk,1999-03-31T00:00:00.000Z,914.133906,367.565104444079
22259,431152,1480,Sidewalk,1999-03-31T00:00:00.000Z,162.1020925,223.090114550848
22260,419127,1480,Sidewalk,1999-03-31T00:00:00.000Z,36.0417345,44.7677722088196
22261,417337,1480,Sidewalk,1999-03-31T00:00:00.000Z,660.9041995,466.460172840128
22262,426172,1480,Sidewalk,1999-03-31T00:00:00.000Z,4.9143045,10.6272071146035
22263,431689,1480,Sidewalk,1999-03-31T00:00:00.000Z,21.602268,26.8683130702479
22264,426173,1480,Sidewalk,1999-03-31T00:00:00.000Z,5.009725,10.8741721863388
22265,425848,1480,Sidewalk,1999-03-31T00:00:00.000Z,457.5709175,224.856553496662
22266,433783,1480,Sidewalk,1999-03-31T00:00:00.000Z,454.405192,295.088326933103
22267,417336,1480,Sidewalk,1999-03-31T00:00:00.000Z,411.185916,286.330816652007
22427,432197,1480,Sidewalk,1999-03-31T00:00:00.000Z,4.350105,8.25889216884061
22428,425653,1480,Sidewalk,1999-03-31T00:00:00.000Z,173.2878495,198.769499350678
22429,433548,1480,Sidewalk,1999-03-31T00:00:00.000Z,392.7906765,246.207750781549
22430,419859,1480,Sidewalk,2005-04-04T00:00:00.000Z,5477.226423,1846.49584070615
22431,416369,1480,Sidewalk,1999-03-31T00:00:00.000Z,275.587291,144.661600369907
22432,427930,1480,Sidewalk,1999-03-31T00:00:00.000Z,576.0394005,602.043181611918
22433,424986,1480,Sidewalk,2005-04-04T00:00:00.000Z,107.8247145,113.011442685942
22276,415001,1480,Sidewalk,1999-03-31T00:00:00.000Z,487.7233745,209.451255628602
22277,431670,1480,Sidewalk,1999-03-31T00:00:00.000Z,215.968436,244.017731536833
