,epoch,batch,train,test
0,0.0,0.0,0.9550958275794983,2.0970828533172607
1,0.0,10.0,0.009854395873844624,0.13460086286067963
2,0.0,20.0,0.002914446871727705,0.07456992566585541
3,0.0,30.0,0.0025853831321001053,0.06691809743642807
4,0.0,40.0,0.0012321643298491836,0.06999719142913818
5,0.0,50.0,0.0005045277066528797,0.046556808054447174
6,0.0,60.0,0.0014997409889474511,0.030809080228209496
7,0.0,70.0,0.000547095958609134,0.03716656565666199
8,0.0,80.0,0.0003254593175370246,0.03636017069220543
9,0.0,90.0,0.00036226821248419583,0.02887158840894699
10,0.0,100.0,0.00030425735167227685,0.024367280304431915
11,0.0,110.0,0.00017803764785639942,0.023496286943554878
12,0.0,120.0,0.00019129599968437105,0.02084905467927456
13,0.0,130.0,0.00016058023902587593,0.021880000829696655
14,1.0,0.0,0.0001881108182715252,0.018353581428527832
15,1.0,10.0,0.00013675671652890742,0.020766353234648705
16,1.0,20.0,0.00015366895240731537,0.02150348760187626
17,1.0,30.0,0.00011569633352337405,0.01995723322033882
18,1.0,40.0,0.0001227563334396109,0.01875239796936512
19,1.0,50.0,0.00018038217967841774,0.015967538580298424
20,1.0,60.0,0.00011968686158070341,0.01800263300538063
21,1.0,70.0,0.00017099642718676478,0.017289428040385246
22,1.0,80.0,0.00012335919018369168,0.016518834978342056
23,1.0,90.0,0.0001695590908639133,0.015717705711722374
24,1.0,100.0,0.00023316936858464032,0.014093990437686443
25,1.0,110.0,0.0012200056808069348,0.025529373437166214
26,1.0,120.0,0.0014141383580863476,0.018495550379157066
27,1.0,130.0,0.0002764174132607877,0.0203708503395319
28,2.0,0.0,0.00018883195298258215,0.015162584371864796
29,2.0,10.0,0.00011035490751964971,0.013401011936366558
30,2.0,20.0,0.00010531279258430004,0.012854674831032753
31,2.0,30.0,9.820143168326467e-05,0.012097124010324478
32,2.0,40.0,9.727649739943445e-05,0.012038289569318295
33,2.0,50.0,8.277368760900572e-05,0.012348553165793419
34,2.0,60.0,9.462454909225926e-05,0.012103240936994553
35,2.0,70.0,8.057988452492282e-05,0.011922987177968025
36,2.0,80.0,7.823947817087173e-05,0.01146612223237753
37,2.0,90.0,7.796032150508836e-05,0.010985356755554676
38,2.0,100.0,8.853800682118163e-05,0.013194453902542591
39,2.0,110.0,0.00010163385741179809,0.012619460932910442
40,2.0,120.0,6.812517676735297e-05,0.011489013209939003
41,2.0,130.0,8.796399197308347e-05,0.010728511027991772
42,3.0,0.0,8.332949801115319e-05,0.011139034293591976
43,3.0,10.0,9.2288464657031e-05,0.009865486063063145
44,3.0,20.0,0.00018580544565338641,0.014376161620020866
45,3.0,30.0,0.00014606022159568965,0.009808186441659927
46,3.0,40.0,0.00010392075637355447,0.010768632404506207
47,3.0,50.0,0.00010079068306367844,0.009225510060787201
48,3.0,60.0,0.00026540239923633635,0.013136392459273338
49,3.0,70.0,0.0002769615384750068,0.009479770436882973
50,3.0,80.0,0.00021613528952002525,0.013315416872501373
51,3.0,90.0,8.988712943391874e-05,0.009719554334878922
