,epoch,batch,train,test
0,0.0,0.0,63.75770568847656,55.56134033203125
1,0.0,10.0,1.953958511352539,3.018073797225952
2,0.0,20.0,0.2368207722902298,0.16425198316574097
3,0.0,30.0,0.06957082450389862,0.03600625321269035
4,0.0,40.0,0.03853597491979599,0.08008671551942825
5,0.0,50.0,0.022991610690951347,0.03224959596991539
6,0.0,60.0,0.01341112982481718,0.09272406995296478
7,0.0,70.0,0.00919323693960905,0.05748513340950012
8,0.0,80.0,0.007242769468575716,0.0960640087723732
9,0.0,90.0,0.006400939542800188,0.08698339015245438
10,0.0,100.0,0.005192533601075411,0.0903661698102951
11,0.0,110.0,0.004516741260886192,0.08551494032144547
12,0.0,120.0,0.003957986366003752,0.08836819976568222
13,0.0,130.0,0.0034857974387705326,0.08260871469974518
14,0.0,140.0,0.0030844404827803373,0.07628854364156723
15,0.0,150.0,0.002721052849665284,0.07337033003568649
16,0.0,160.0,0.002417544135823846,0.07073409855365753
17,0.0,170.0,0.0021646360401064157,0.06362992525100708
18,0.0,180.0,0.0019809105433523655,0.05904743820428848
19,0.0,190.0,0.001813350012525916,0.058663446456193924
20,0.0,200.0,0.001661010435782373,0.053433507680892944
21,0.0,210.0,0.0015251230215653777,0.050592608749866486
22,0.0,220.0,0.0014039665693417192,0.04515984654426575
23,0.0,230.0,0.0013262195279821754,0.042104389518499374
24,0.0,240.0,0.0012705280678346753,0.04219767078757286
25,0.0,250.0,0.0012231279397383332,0.04022066295146942
26,0.0,260.0,0.0011427109129726887,0.03661612793803215
27,0.0,270.0,0.001086680218577385,0.03513595089316368
28,1.0,0.0,0.001069671823643148,0.03408016636967659
29,1.0,10.0,0.0010299718705937266,0.032980576157569885
30,1.0,20.0,0.0010005396325141191,0.03141642361879349
31,1.0,30.0,0.0009534094133414328,0.03175549581646919
32,1.0,40.0,0.0009219771600328386,0.029773974791169167
33,1.0,50.0,0.0008980632992461324,0.02848130092024803
34,1.0,60.0,0.000863360648509115,0.027766287326812744
35,1.0,70.0,0.0008356377365998924,0.02893507108092308
36,1.0,80.0,0.0008061230182647705,0.02798278070986271
37,1.0,90.0,0.0007843315834179521,0.026481039822101593
38,1.0,100.0,0.0007766051567159593,0.024133114144206047
39,1.0,110.0,0.0007730397628620267,0.02257920242846012
40,1.0,120.0,0.0007152790785767138,0.023202065378427505
41,1.0,130.0,0.0007715615211054683,0.025641169399023056
42,1.0,140.0,0.0007058572955429554,0.023923661559820175
43,1.0,150.0,0.0006568175158463418,0.021682417020201683
44,1.0,160.0,0.0006420406280085444,0.020680511370301247
45,1.0,170.0,0.0006276433705352247,0.01919671893119812
46,1.0,180.0,0.0006128685199655592,0.019917789846658707
47,1.0,190.0,0.0005918120732530951,0.019063245505094528
48,1.0,200.0,0.0005840689409524202,0.01826615259051323
49,1.0,210.0,0.0005684688221663237,0.016825862228870392
50,1.0,220.0,0.0005441511166281998,0.01693752594292164
51,1.0,230.0,0.0005422755493782461,0.01562504470348358
52,1.0,240.0,0.0005236513679847121,0.01595482975244522
53,1.0,250.0,0.0005233567790128291,0.016669441014528275
54,1.0,260.0,0.0005137870903126895,0.014440039172768593
55,1.0,270.0,0.000492414110340178,0.014780743978917599
56,2.0,0.0,0.00048197642900049686,0.014456101693212986
57,2.0,10.0,0.00047114797052927315,0.013425042852759361
58,2.0,20.0,0.00045564505853690207,0.012610803358256817
59,2.0,30.0,0.00045001532998867333,0.011607395485043526
